gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2022-03-16,0,1.0,0.334455765635,0.076783067947,0.017698631996,0.005825525708,0.001505309547,0.000342113498,1,1,2571,South Dakota State,79.67,Midwest,13,78
mens,2022-03-16,0,1.0,0.282143875207,0.101500727843,0.00955155795,0.002850492482,0.000797643872,0.000231296373,1,1,261,Vermont,80.32,West,13,14
mens,2022-03-16,0,1.0,0.193360592985,0.048897612299,0.010128500546,0.002685640052,0.000757574015,0.000181143641,1,1,236,Chattanooga,78.7,South,13,110
mens,2022-03-16,0,1.0,0.137246568487,0.030684102447,0.002649304903,0.000738218529,0.00017001276,4.1282832e-05,1,1,166,New Mexico State,77.68,West,12,10
mens,2022-03-16,0,1.0,0.151110950493,0.036565205579,0.007309572822,0.001243843007,0.000226700714,3.6972256e-05,1,1,2142,Colgate,76.4,Midwest,14,86
mens,2022-03-16,0,1.0,0.074384262713,0.016224002089,0.004339121816,0.000830953624,0.000122486796,2.6973884e-05,1,1,2006,Akron,76.69,East,13,46
mens,2022-03-16,0,1.0,0.060648741175,0.009302146187,0.001492087597,0.000359483944,3.9234767e-05,6.598464e-06,1,1,43,Yale,74.74,East,14,54
mens,2022-03-16,0,1.0,0.04513203025,0.012800177205,0.001564270912,0.000276676266,3.1267671e-05,5.4276e-06,1,1,2612,Saint Peter's,74.17,East,15,62
mens,2022-03-16,0,1.0,0.054901747655,0.01397143381,0.002298431928,0.000257579101,3.7431175e-05,4.91681e-06,1,1,55,Jacksonville State,73.15,Midwest,15,94
mens,2022-03-16,0,1.0,0.073021923848,0.014950541572,0.002700139624,0.00022750252,3.1737086e-05,4.844087e-06,1,1,147,Montana State,74.3,West,14,22
mens,2022-03-16,1,1.0,0.036963518474,0.008277321558,0.00110774956,0.000166930694,2.7268935e-05,3.821921e-06,1,1,2750,Wright State,74.25,South,16,98
mens,2022-03-16,0,1.0,0.058597621242,0.009821576913,0.001144481058,0.00012499119,1.8373741e-05,2.322636e-06,1,1,2344,Longwood,73.42,South,14,118
mens,2022-03-16,0,1.0,0.051679428004,0.008567881761,0.001100123374,0.000119334043,1.7233742e-05,2.141022e-06,1,1,48,Delaware,73.57,South,15,126
mens,2022-03-16,0,1.0,0.011660362862,0.001655317511,0.000266501198,3.7308483e-05,5.917767e-06,1.018436e-06,1,1,2247,Georgia State,73.46,West,16,2
mens,2022-03-16,1,1.0,0.031071182805,0.005237626027,0.000521218088,5.7140438e-05,6.64558e-06,7.04782e-07,1,1,2640,Texas Southern,71.14,Midwest,16,66
mens,2022-03-16,0,1.0,0.036985979671,0.004816873094,0.000629102344,6.3619333e-05,4.716337e-06,5.55059e-07,1,1,2450,Norfolk State,71.39,East,16,34
mens,2022-03-16,0,1.0,0.029355235598,0.003167897526,0.000432877051,2.982332e-05,3.008976e-06,3.38164e-07,1,1,2239,Cal State Fullerton,71.78,West,15,30
